1729289421.795199 server started (20998): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1729289421.795236 on Linux 6.11.0-8-generic #8-Ubuntu SMP PREEMPT_DYNAMIC Mon Sep 16 13:41:20 UTC 2024
1729289421.795247 using libevent 2.1.12-stable poll
1729289421.795251 using ncurses 6.5 20240427
1729289421.809203 args_parse: 23 = l (type STRING)
1729289421.809205 args_parse: 24 = copy-mode -q ; set-buffer "#{q:mouse_line}" (type COMMANDS)
1729289421.809206 args_parse: 25 =  (type STRING)
1729289421.809207 args_parse: 26 = #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1729289421.809208 args_parse: 27 = C-h (type STRING)
1729289421.809210 args_parse: 28 = copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" (type COMMANDS)
1729289421.809211 args_parse: 29 = #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1729289421.809212 args_parse: 30 = h (type STRING)
1729289421.809214 args_parse: 31 = copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" (type COMMANDS)
1729289421.809215 args_parse: 32 =  (type STRING)
1729289421.809216 args_parse: 33 = Horizontal Split (type STRING)
1729289421.809217 args_parse: 34 = h (type STRING)
1729289421.809218 args_parse: 35 = split-window -h (type COMMANDS)
1729289421.809220 args_parse: 36 = Vertical Split (type STRING)
1729289421.809221 args_parse: 37 = v (type STRING)
1729289421.809223 args_parse: 38 = split-window -v (type COMMANDS)
1729289421.809224 args_parse: 39 =  (type STRING)
1729289421.809225 args_parse: 40 = #{?#{>:#{window_panes},1},,-}Swap Up (type STRING)
1729289421.809226 args_parse: 41 = u (type STRING)
1729289421.809228 args_parse: 42 = swap-pane -U (type COMMANDS)
1729289421.809229 args_parse: 43 = #{?#{>:#{window_panes},1},,-}Swap Down (type STRING)
1729289421.809230 args_parse: 44 = d (type STRING)
1729289421.809231 args_parse: 45 = swap-pane -D (type COMMANDS)
1729289421.809232 args_parse: 46 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1729289421.809233 args_parse: 47 = s (type STRING)
1729289421.809234 args_parse: 48 = swap-pane (type COMMANDS)
1729289421.809235 args_parse: 49 =  (type STRING)
1729289421.809236 args_parse: 50 = Kill (type STRING)
1729289421.809237 args_parse: 51 = X (type STRING)
1729289421.809238 args_parse: 52 = kill-pane (type COMMANDS)
1729289421.809239 args_parse: 53 = Respawn (type STRING)
1729289421.809240 args_parse: 54 = R (type STRING)
1729289421.809243 args_parse: 55 = respawn-pane -k (type COMMANDS)
1729289421.809244 args_parse: 56 = #{?pane_marked,Unmark,Mark} (type STRING)
1729289421.809245 args_parse: 57 = m (type STRING)
1729289421.809246 args_parse: 58 = select-pane -m (type COMMANDS)
1729289421.809247 args_parse: 59 = #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom} (type STRING)
1729289421.809248 args_parse: 60 = z (type STRING)
1729289421.809249 args_parse: 61 = resize-pane -Z (type COMMANDS)
1729289421.809282 cmd_parse_build_commands: display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z }
1729289421.809283 args_parse_flags: next -n
1729289421.809284 args_parse_flags: -n
1729289421.809285 args_parse_flags: next M-MouseDown3Pane
1729289421.809286 args_parse: flags end at 2 of 4
1729289421.809287 args_parse: 2 = M-MouseDown3Pane (type STRING)
1729289421.809318 args_parse: 3 = display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } (type COMMANDS)
1729289421.809352 cmd_parse_build_commands: bind-key -n M-MouseDown3Pane { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } }
1729289421.809356 cmdq_get_command: [bind-key/0x57762ddac940] group 1209
1729289421.809356 cmdq_append <global>: [bind-key/0x57762ddac940]
1729289421.809360 yylex_token: end at WS
1729289421.809361 yylex_token: bind
1729289421.809362 yylex_token: end at WS
1729289421.809363 yylex_token: -Tcopy-mode
1729289421.809363 yylex_token: end at WS
1729289421.809364 yylex_token: C-Space
1729289421.809365 yylex_token: end at WS
1729289421.809366 yylex_token: send
1729289421.809366 yylex_token: end at WS
1729289421.809367 yylex_token: -X
1729289421.809368 yylex_token: end at WS
1729289421.809369 yylex_token: begin-selection
1729289421.809370 cmd_parse_build_commands 0:0: bind
1729289421.809371 cmd_parse_build_commands 0:1: -Tcopy-mode
1729289421.809371 cmd_parse_build_commands 0:2: C-Space
1729289421.809372 cmd_parse_build_commands 0:3 0:0: send
1729289421.809373 cmd_parse_build_commands 0:3 0:1: -X
1729289421.809374 cmd_parse_build_commands 0:3 0:2: begin-selection
1729289421.809375 cmd_parse_build_commands 0:0: send
1729289421.809376 cmd_parse_build_commands 0:1: -X
1729289421.809376 cmd_parse_build_commands 0:2: begin-selection
1729289421.809378 args_parse_flags: next -X
1729289421.809378 args_parse_flags: -X
1729289421.809379 args_parse_flags: next begin-selection
1729289421.809380 args_parse: flags end at 2 of 3
1729289421.809380 args_parse: 2 = begin-selection (type STRING)
1729289421.809382 cmd_parse_build_commands: send-keys -X begin-selection
1729289421.809383 args_parse_flags: next -Tcopy-mode
1729289421.809383 args_parse_flag_argument: -T = copy-mode
1729289421.809384 args_parse_flags: next C-Space
1729289421.809385 args_parse: flags end at 2 of 4
1729289421.809386 args_parse: 2 = C-Space (type STRING)
1729289421.809387 args_parse: 3 = send-keys -X begin-selection (type COMMANDS)
1729289421.809391 cmd_parse_build_commands: bind-key -T copy-mode C-Space { send-keys -X begin-selection }
1729289421.809393 cmdq_get_command: [bind-key/0x57762ddab230] group 1291
1729289421.809393 cmdq_append <global>: [bind-key/0x57762ddab230]
1729289421.809395 yylex_token: end at WS
1729289421.809395 yylex_token: bind
1729289421.809396 yylex_token: end at WS
1729289421.809397 yylex_token: -Tcopy-mode
1729289421.809398 yylex_token: end at WS
1729289421.809398 yylex_token: C-a
1729289421.809399 yylex_token: end at WS
1729289421.809400 yylex_token: send
1729289421.809400 yylex_token: end at WS
1729289421.809401 yylex_token: -X
1729289421.809402 yylex_token: end at WS
1729289421.809403 yylex_token: start-of-line
1729289421.809404 cmd_parse_build_commands 0:0: bind
1729289421.809404 cmd_parse_build_commands 0:1: -Tcopy-mode
1729289421.809405 cmd_parse_build_commands 0:2: C-a
1729289421.809406 cmd_parse_build_commands 0:3 0:0: send
1729289421.809407 cmd_parse_build_commands 0:3 0:1: -X
1729289421.809408 cmd_parse_build_commands 0:3 0:2: start-of-line
1729289421.809409 cmd_parse_build_commands 0:0: send
1729289421.809409 cmd_parse_build_commands 0:1: -X
1729289421.809410 cmd_parse_build_commands 0:2: start-of-line
1729289421.809412 args_parse_flags: next -X
1729289421.809412 args_parse_flags: -X
1729289421.809413 args_parse_flags: next start-of-line
1729289421.809413 args_parse: flags end at 2 of 3
1729289421.809414 args_parse: 2 = start-of-line (type STRING)
1729289421.809416 cmd_parse_build_commands: send-keys -X start-of-line
1729289421.809416 args_parse_flags: next -Tcopy-mode
1729289421.809417 args_parse_flag_argument: -T = copy-mode
1729289421.809418 args_parse_flags: next C-a
1729289421.809419 args_parse: flags end at 2 of 4
1729289421.809419 args_parse: 2 = C-a (type STRING)
1729289421.809421 args_parse: 3 = send-keys -X start-of-line (type COMMANDS)
1729289421.809423 cmd_parse_build_commands: bind-key -T copy-mode C-a { send-keys -X start-of-line }
1729289421.809425 cmdq_get_command: [bind-key/0x57762ddb2520] group 1299
1729289421.809425 cmdq_append <global>: [bind-key/0x57762ddb2520]
1729289421.809427 yylex_token: end at WS
1729289421.809427 yylex_token: bind
1729289421.809428 yylex_token: end at WS
1729289421.809429 yylex_token: -Tcopy-mode
1729289421.809430 yylex_token: end at WS
1729289421.809430 yylex_token: C-c
1729289421.809431 yylex_token: end at WS
1729289421.809432 yylex_token: send
1729289421.809432 yylex_token: end at WS
1729289421.809433 yylex_token: -X
1729289421.809434 yylex_token: end at WS
1729289421.809434 yylex_token: cancel
1729289421.809435 cmd_parse_build_commands 0:0: bind
1729289421.809436 cmd_parse_build_commands 0:1: -Tcopy-mode
1729289421.809437 cmd_parse_build_commands 0:2: C-c
1729289421.809438 cmd_parse_build_commands 0:3 0:0: send
1729289421.809438 cmd_parse_build_commands 0:3 0:1: -X
1729289421.809439 cmd_parse_build_commands 0:3 0:2: cancel
1729289421.809440 cmd_parse_build_commands 0:0: send
1729289421.809441 cmd_parse_build_commands 0:1: -X
1729289421.809442 cmd_parse_build_commands 0:2: cancel
1729289421.809444 args_parse_flags: next -X
1729289421.809444 args_parse_flags: -X
1729289421.809445 args_parse_flags: next cancel
1729289421.809446 args_parse: flags end at 2 of 3
1729289421.809446 args_parse: 2 = cancel (type STRING)
1729289421.809448 cmd_parse_build_commands: send-keys -X cancel
1729289421.809449 args_parse_flags: next -Tcopy-mode
1729289421.809449 args_parse_flag_argument: -T = copy-mode
1729289421.809450 args_parse_flags: next C-c
1729289421.809451 args_parse: flags end at 2 of 4
1729289421.809452 args_parse: 2 = C-c (type STRING)
1729289421.809453 args_parse: 3 = send-keys -X cancel (type COMMANDS)
1729289421.809455 cmd_parse_build_commands: bind-key -T copy-mode C-c { send-keys -X cancel }
1729289421.809457 cmdq_get_command: [bind-key/0x57762ddb1200] group 1307
1729289421.809457 cmdq_append <global>: [bind-key/0x57762ddb1200]
1729289421.809459 yylex_token: end at WS
1729289421.809460 yylex_token: bind
1729289421.809463 yylex_token: end at WS
1729289421.809464 yylex_token: -Tcopy-mode
1729289421.809465 yylex_token: end at WS
1729289421.809465 yylex_token: C-e
1729289421.809466 yylex_token: end at WS
1729289421.809467 yylex_token: send
1729289421.809467 yylex_token: end at WS
1729289421.809468 yylex_token: -X
1729289421.809469 yylex_token: end at WS
1729289421.809469 yylex_token: end-of-line
1729289421.809471 cmd_parse_build_commands 0:0: bind
1729289421.809471 cmd_parse_build_commands 0:1: -Tcopy-mode
1729289421.809472 cmd_parse_build_commands 0:2: C-e
1729289421.809473 cmd_parse_build_commands 0:3 0:0: send
1729289421.809474 cmd_parse_build_commands 0:3 0:1: -X
1729289421.809474 cmd_parse_build_commands 0:3 0:2: end-of-line
1729289421.809475 cmd_parse_build_commands 0:0: send
1729289421.809476 cmd_parse_build_commands 0:1: -X
1729289421.809477 cmd_parse_build_commands 0:2: end-of-line
1729289421.809478 args_parse_flags: next -X
1729289421.809479 args_parse_flags: -X
1729289421.809480 args_parse_flags: next end-of-line
1729289421.809480 args_parse: flags end at 2 of 3
1729289421.809481 args_parse: 2 = end-of-line (type STRING)
1729289421.809482 cmd_parse_build_commands: send-keys -X end-of-line
1729289421.809483 args_parse_flags: next -Tcopy-mode
1729289421.809484 args_parse_flag_argument: -T = copy-mode
1729289421.809485 args_parse_flags: next C-e
1729289421.809485 args_parse: flags end at 2 of 4
1729289421.809486 args_parse: 2 = C-e (type STRING)
1729289421.809488 args_parse: 3 = send-keys -X end-of-line (type COMMANDS)
1729289421.809490 cmd_parse_build_commands: bind-key -T copy-mode C-e { send-keys -X end-of-line }
1729289421.809491 cmdq_get_command: [bind-key/0x57762dda6740] group 1315
1729289421.809492 cmdq_append <global>: [bind-key/0x57762dda6740]
1729289421.809493 yylex_token: end at WS
1729289421.809494 yylex_token: bind
1729289421.809495 yylex_token: end at WS
1729289421.809496 yylex_token: -Tcopy-mode
1729289421.809496 yylex_token: end at WS
1729289421.809497 yylex_token: C-f
1729289421.809498 yylex_token: end at WS
1729289421.809498 yylex_token: send
1729289421.809499 yylex_token: end at WS
1729289421.809499 yylex_token: -X
1729289421.809500 yylex_token: end at WS
1729289421.809501 yylex_token: cursor-right
1729289421.809502 cmd_parse_build_commands 0:0: bind
1729289421.809503 cmd_parse_build_commands 0:1: -Tcopy-mode
1729289421.809503 cmd_parse_build_commands 0:2: C-f
1729289421.809504 cmd_parse_build_commands 0:3 0:0: send
1729289421.809505 cmd_parse_build_commands 0:3 0:1: -X
1729289421.809506 cmd_parse_build_commands 0:3 0:2: cursor-right
1729289421.809507 cmd_parse_build_commands 0:0: send
1729289421.809507 cmd_parse_build_commands 0:1: -X
1729289421.809508 cmd_parse_build_commands 0:2: cursor-right
1729289421.809510 args_parse_flags: next -X
1729289421.809510 args_parse_flags: -X
1729289421.809511 args_parse_flags: next cursor-right
1729289421.809512 args_parse: flags end at 2 of 3
1729289421.809513 args_parse: 2 = cursor-right (type STRING)
1729289421.809514 cmd_parse_build_commands: send-keys -X cursor-right
1729289421.809515 args_parse_flags: next -Tcopy-mode
1729289421.809516 args_parse_flag_argument: -T = copy-mode
1729289421.809516 args_parse_flags: next C-f
1729289421.809517 args_parse: flags end at 2 of 4
1729289421.809518 args_parse: 2 = C-f (type STRING)
1729289421.809519 args_parse: 3 = send-keys -X cursor-right (type COMMANDS)
1729289421.809521 cmd_parse_build_commands: bind-key -T copy-mode C-f { send-keys -X cursor-right }
1729289421.809522 cmdq_get_command: [bind-key/0x57762ddb1440] group 1323
1729289421.809523 cmdq_append <global>: [bind-key/0x57762ddb1440]
1729289421.809525 yylex_token: end at WS
1729289421.809525 yylex_token: bind
1729289421.809526 yylex_token: end at WS
1729289421.809527 yylex_token: -Tcopy-mode
1729289421.809528 yylex_token: end at WS
1729289421.809528 yylex_token: C-b
1729289421.809529 yylex_token: end at WS
1729289421.809530 yylex_token: send
1729289421.809530 yylex_token: end at WS
1729289421.809531 yylex_token: -X
1729289421.809532 yylex_token: end at WS
1729289421.809533 yylex_token: cursor-left
1729289421.809534 cmd_parse_build_commands 0:0: bind
1729289421.809535 cmd_parse_build_commands 0:1: -Tcopy-mode
1729289421.809536 cmd_parse_build_commands 0:2: C-b
1729289421.809536 cmd_parse_build_commands 0:3 0:0: send
1729289421.809537 cmd_parse_build_commands 0:3 0:1: -X
1729289421.809538 cmd_parse_build_commands 0:3 0:2: cursor-left
1729289421.809539 cmd_parse_build_commands 0:0: send
1729289421.809540 cmd_parse_build_commands 0:1: -X
1729289421.809540 cmd_parse_build_commands 0:2: cursor-left
1729289421.809542 args_parse_flags: next -X
1729289421.809543 args_parse_flags: -X
1729289421.809543 args_parse_flags: next cursor-left
1729289421.809544 args_parse: flags end at 2 of 3
1729289421.809545 args_parse: 2 = cursor-left (type STRING)
1729289421.809546 cmd_parse_build_commands: send-keys -X cursor-left
1729289421.809547 args_parse_flags: next -Tcopy-mode
1729289421.809548 args_parse_flag_argument: -T = copy-mode
1729289421.809549 args_parse_flags: next C-b
1729289421.809549 args_parse: flags end at 2 of 4
1729289421.809550 args_parse: 2 = C-b (type STRING)
1729289421.809552 args_parse: 3 = send-keys -X cursor-left (type COMMANDS)
1729289421.809554 cmd_parse_build_commands: bind-key -T copy-mode C-b { send-keys -X cursor-left }
1729289421.809555 cmdq_get_command: [bind-key/0x57762ddb2790] group 1331
1729289421.809556 cmdq_append <global>: [bind-key/0x57762ddb2790]
1729289421.809557 yylex_token: end at WS
1729289421.809558 yylex_token: bind
1729289421.809559 yylex_token: end at WS
1729289421.809559 yylex_token: -Tcopy-mode
1729289421.809560 yylex_token: end at WS
1729289421.809561 yylex_token: C-g
1729289421.809561 yylex_token: end at WS
1729289421.809562 yylex_token: send
1729289421.809563 yylex_token: end at WS
1729289421.809563 yylex_token: -X
1729289421.809564 yylex_token: end at WS
1729289421.809565 yylex_token: clear-selection
1729289421.809566 cmd_parse_build_commands 0:0: bind
1729289421.809566 cmd_parse_build_commands 0:1: -Tcopy-mode
1729289421.809567 cmd_parse_build_commands 0:2: C-g
1729289421.809568 cmd_parse_build_commands 0:3 0:0: send
1729289421.809569 cmd_parse_build_commands 0:3 0:1: -X
1729289421.809570 cmd_parse_build_commands 0:3 0:2: clear-selection
1729289421.809570 cmd_parse_build_commands 0:0: send
1729289421.809571 cmd_parse_build_commands 0:1: -X
1729289421.809572 cmd_parse_build_commands 0:2: clear-selection
1729289421.809573 args_parse_flags: next -X
1729289421.809574 args_parse_flags: -X
1729289421.809575 args_parse_flags: next clear-selection
1729289421.809575 args_parse: flags end at 2 of 3
1729289421.809576 args_parse: 2 = clear-selection (type STRING)
1729289421.809578 cmd_parse_build_commands: send-keys -X clear-selection
1729289421.809578 args_parse_flags: next -Tcopy-mode
1729289421.809579 args_parse_flag_argument: -T = copy-mode
1729289421.809580 args_parse_flags: next C-g
1729289421.809581 args_parse: flags end at 2 of 4
1729289421.809581 args_parse: 2 = C-g (type STRING)
1729289421.809583 args_parse: 3 = send-keys -X clear-selection (type COMMANDS)
1729289421.809585 cmd_parse_build_commands: bind-key -T copy-mode C-g { send-keys -X clear-selection }
1729289421.809586 cmdq_get_command: [bind-key/0x57762ddaddb0] group 1339
1729289421.809587 cmdq_append <global>: [bind-key/0x57762ddaddb0]
1729289421.809589 yylex_token: end at WS
1729289421.809589 yylex_token: bind
1729289421.809590 yylex_token: end at WS
1729289421.809591 yylex_token: -Tcopy-mode
1729289421.809591 yylex_token: end at WS
1729289421.809592 yylex_token: C-k
1729289421.809593 yylex_token: end at WS
1729289421.809593 yylex_token: send
1729289421.809594 yylex_token: end at WS
1729289421.809595 yylex_token: -X
1729289421.809596 yylex_token: end at WS
1729289421.809596 yylex_token: copy-pipe-end-of-line-and-cancel
1729289421.809598 cmd_parse_build_commands 0:0: bind
1729289421.809598 cmd_parse_build_commands 0:1: -Tcopy-mode
1729289421.809599 cmd_parse_build_commands 0:2: C-k
1729289421.809600 cmd_parse_build_commands 0:3 0:0: send
1729289421.809600 cmd_parse_build_commands 0:3 0:1: -X
1729289421.809602 cmd_parse_build_commands 0:3 0:2: copy-pipe-end-of-line-and-cancel
1729289421.809603 cmd_parse_build_commands 0:0: send
1729289421.809604 cmd_parse_build_commands 0:1: -X
1729289421.809605 cmd_parse_build_commands 0:2: copy-pipe-end-of-line-and-cancel
1729289421.809607 args_parse_flags: next -X
1729289421.809607 args_parse_flags: -X
1729289421.809608 args_parse_flags: next copy-pipe-end-of-line-and-cancel
1729289421.809609 args_parse: flags end at 2 of 3
1729289421.809610 args_parse: 2 = copy-pipe-end-of-line-and-cancel (type STRING)
1729289421.809612 cmd_parse_build_commands: send-keys -X copy-pipe-end-of-line-and-cancel
1729289421.809612 args_parse_flags: next -Tcopy-mode
1729289421.809613 args_parse_flag_argument: -T = copy-mode
1729289421.809614 args_parse_flags: next C-k
1729289421.809615 args_parse: flags end at 2 of 4
1729289421.809615 args_parse: 2 = C-k (type STRING)
1729289421.809618 args_parse: 3 = send-keys -X copy-pipe-end-of-line-and-cancel (type COMMANDS)
1729289421.809620 cmd_parse_build_commands: bind-key -T copy-mode C-k { send-keys -X copy-pipe-end-of-line-and-cancel }
1729289421.809621 cmdq_get_command: [bind-key/0x57762ddb49e0] group 1347
1729289421.809622 cmdq_append <global>: [bind-key/0x57762ddb49e0]
1729289421.809624 yylex_token: end at WS
1729289421.809624 yylex_token: bind
1729289421.809625 yylex_token: end at WS
1729289421.809626 yylex_token: -Tcopy-mode
1729289421.809626 yylex_token: end at WS
1729289421.809627 yylex_token: C-n
1729289421.809628 yylex_token: end at WS
1729289421.809628 yylex_token: send
1729289421.809629 yylex_token: end at WS
1729289421.809630 yylex_token: -X
1729289421.809630 yylex_token: end at WS
1729289421.809631 yylex_token: cursor-down
1729289421.809632 cmd_parse_build_commands 0:0: bind
1729289421.809633 cmd_parse_build_commands 0:1: -Tcopy-mode
1729289421.809633 cmd_parse_build_commands 0:2: C-n
1729289421.809634 cmd_parse_build_commands 0:3 0:0: send
1729289421.809635 cmd_parse_build_commands 0:3 0:1: -X
1729289421.809636 cmd_parse_build_commands 0:3 0:2: cursor-down
1729289421.809637 cmd_parse_build_commands 0:0: send
1729289421.809637 cmd_parse_build_commands 0:1: -X
1729289421.809638 cmd_parse_build_commands 0:2: cursor-down
1729289421.809640 args_parse_flags: next -X
1729289421.809640 args_parse_flags: -X
1729289421.809641 args_parse_flags: next cursor-down
1729289421.809642 args_parse: flags end at 2 of 3
1729289421.809642 args_parse: 2 = cursor-down (type STRING)
1729289421.809644 cmd_parse_build_commands: send-keys -X cursor-down
1729289421.809645 args_parse_flags: next -Tcopy-mode
1729289421.809645 args_parse_flag_argument: -T = copy-mode
1729289421.809646 args_parse_flags: next C-n
1729289421.809647 args_parse: flags end at 2 of 4
1729289421.809648 args_parse: 2 = C-n (type STRING)
1729289421.809649 args_parse: 3 = send-keys -X cursor-down (type COMMANDS)
1729289421.809652 cmd_parse_build_commands: bind-key -T copy-mode C-n { send-keys -X cursor-down }
1729289421.809653 cmdq_get_command: [bind-key/0x57762ddb4cc0] group 1355
1729289421.809654 cmdq_append <global>: [bind-key/0x57762ddb4cc0]
1729289421.809655 yylex_token: end at WS
1729289421.809656 yylex_token: bind
1729289421.809657 yylex_token: end at WS
1729289421.809657 yylex_token: -Tcopy-mode
1729289421.809658 yylex_token: end at WS
1729289421.809659 yylex_token: C-p
1729289421.809659 yylex_token: end at WS
1729289421.809660 yylex_token: send
1729289421.809661 yylex_token: end at WS
1729289421.809661 yylex_token: -X
1729289421.809662 yylex_token: end at WS
1729289421.809663 yylex_token: cursor-up
1729289421.809664 cmd_parse_build_commands 0:0: bind
1729289421.809664 cmd_parse_build_commands 0:1: -Tcopy-mode
1729289421.809665 cmd_parse_build_commands 0:2: C-p
1729289421.809666 cmd_parse_build_commands 0:3 0:0: send
1729289421.809667 cmd_parse_build_commands 0:3 0:1: -X
1729289421.809667 cmd_parse_build_commands 0:3 0:2: cursor-up
1729289421.809668 cmd_parse_build_commands 0:0: send
1729289421.809669 cmd_parse_build_commands 0:1: -X
1729289421.809670 cmd_parse_build_commands 0:2: cursor-up
1729289421.809672 args_parse_flags: next -X
1729289421.809673 args_parse_flags: -X
1729289421.809674 args_parse_flags: next cursor-up
1729289421.809674 args_parse: flags end at 2 of 3
1729289421.809675 args_parse: 2 = cursor-up (type STRING)
1729289421.809677 cmd_parse_build_commands: send-keys -X cursor-up
1729289421.809678 args_parse_flags: next -Tcopy-mode
1729289421.809679 args_parse_flag_argument: -T = copy-mode
1729289421.809680 args_parse_flags: next C-p
1729289421.809680 args_parse: flags end at 2 of 4
1729289421.809681 args_parse: 2 = C-p (type STRING)
1729289421.809683 args_parse: 3 = send-keys -X cursor-up (type COMMANDS)
1729289421.809685 cmd_parse_build_commands: bind-key -T copy-mode C-p { send-keys -X cursor-up }
1729289421.809686 cmdq_get_command: [bind-key/0x57762ddb5700] group 1363
1729289421.809687 cmdq_append <global>: [bind-key/0x57762ddb5700]
1729289421.809688 yylex_token: end at WS
1729289421.809689 yylex_token: bind
1729289421.809690 yylex_token: end at WS
1729289421.809691 yylex_token: -Tcopy-mode
1729289421.809691 yylex_token: end at WS
1729289421.809692 yylex_token: C-r
1729289421.809693 yylex_token: end at WS
1729289421.809693 yylex_token: command-prompt
1729289421.809694 yylex_token: end at WS
1729289421.809695 yylex_token: -T
1729289421.809695 yylex_token: end at WS
1729289421.809696 yylex_token: search
1729289421.809697 yylex_token: end at WS
1729289421.809698 yylex_token: -ip(search up)
1729289421.809699 yylex_token: end at WS
